Customer_id,Target
CTSP063999,0
CTSP064000,0
CTSP064001,0
CTSP064002,0
CTSP064003,0
CTSP064004,0
CTSP064005,0
CTSP064006,0
CTSP064007,0
CTSP064008,0
CTSP064009,0
CTSP064010,0
CTSP064011,0
CTSP064012,0
CTSP064013,0
CTSP064014,0
CTSP064015,0
CTSP064016,0
CTSP064017,0
CTSP064018,0
CTSP064019,0
CTSP064020,0
CTSP064021,0
CTSP064022,0
CTSP064023,0
CTSP064024,0
CTSP064025,0
CTSP064026,0
CTSP064027,0
CTSP064028,0
CTSP064029,0
CTSP064030,0
CTSP064031,0
CTSP064032,0
CTSP064033,0
CTSP064034,0
CTSP064035,0
CTSP064036,0
CTSP064037,0
CTSP064038,0
CTSP064039,0
CTSP064040,0
CTSP064041,0
CTSP064042,0
CTSP064043,0
CTSP064044,0
CTSP064045,0
CTSP064046,0
CTSP064047,0
CTSP064048,0
CTSP064049,0
CTSP064050,0
CTSP064051,0
CTSP064052,0
CTSP064053,0
CTSP064054,0
CTSP064055,0
CTSP064056,0
CTSP064057,0
CTSP064058,0
CTSP064059,0
CTSP064060,0
CTSP064061,0
CTSP064062,0
CTSP064063,0
CTSP064064,0
CTSP064065,0
CTSP064066,0
CTSP064067,0
CTSP064068,0
CTSP064069,0
CTSP064070,0
CTSP064071,0
CTSP064072,0
CTSP064073,0
CTSP064074,0
CTSP064075,0
CTSP064076,0
CTSP064077,0
CTSP064078,0
CTSP064079,0
CTSP064080,0
CTSP064081,0
CTSP064082,0
CTSP064083,0
CTSP064084,0
CTSP064085,0
CTSP064086,0
CTSP064087,0
CTSP064088,0
CTSP064089,0
CTSP064090,0
CTSP064091,0
CTSP064092,0
CTSP064093,0
CTSP064094,0
CTSP064095,0
CTSP064096,0
CTSP064097,0
CTSP064098,0
CTSP064099,0
CTSP064100,0
CTSP064101,0
CTSP064102,0
CTSP064103,0
CTSP064104,0
CTSP064105,0
CTSP064106,0
CTSP064107,0
CTSP064108,0
CTSP064109,0
CTSP064110,0
CTSP064111,0
CTSP064112,0
CTSP064113,0
CTSP064114,0
CTSP064115,0
CTSP064116,0
CTSP064117,0
CTSP064118,0
CTSP064119,0
CTSP064120,0
CTSP064121,0
CTSP064122,0
CTSP064123,0
CTSP064124,0
CTSP064125,0
CTSP064126,0
CTSP064127,0
CTSP064128,0
CTSP064129,0
CTSP064130,0
CTSP064131,0
CTSP064132,0
CTSP064133,0
CTSP064134,0
CTSP064135,0
CTSP064136,0
CTSP064137,0
CTSP064138,0
CTSP064139,0
CTSP064140,0
CTSP064141,0
CTSP064142,0
CTSP064143,0
CTSP064144,0
CTSP064145,0
CTSP064146,0
CTSP064147,0
CTSP064148,0
CTSP064149,0
CTSP064150,0
CTSP064151,0
CTSP064152,0
CTSP064153,0
CTSP064154,0
CTSP064155,0
CTSP064156,0
CTSP064157,0
CTSP064158,0
CTSP064159,0
CTSP064160,0
CTSP064161,0
CTSP064162,0
CTSP064163,0
CTSP064164,0
CTSP064165,0
CTSP064166,0
CTSP064167,0
CTSP064168,0
CTSP064169,0
CTSP064170,0
CTSP064171,0
CTSP064172,0
CTSP064173,0
CTSP064174,0
CTSP064175,0
CTSP064176,0
CTSP064177,0
CTSP064178,0
CTSP064179,0
CTSP064180,0
CTSP064181,0
CTSP064182,0
CTSP064183,0
CTSP064184,0
CTSP064185,0
CTSP064186,0
CTSP064187,0
CTSP064188,0
CTSP064189,0
CTSP064190,0
CTSP064191,0
CTSP064192,0
CTSP064193,0
CTSP064194,0
CTSP064195,0
CTSP064196,0
CTSP064197,0
CTSP064198,0
CTSP064199,0
CTSP064200,0
CTSP064201,0
CTSP064202,0
CTSP064203,0
CTSP064204,0
CTSP064205,0
CTSP064206,0
CTSP064207,0
CTSP064208,0
CTSP064209,0
CTSP064210,0
CTSP064211,0
CTSP064212,0
CTSP064213,0
CTSP064214,0
CTSP064215,0
CTSP064216,0
CTSP064217,0
CTSP064218,0
